audience,bias,message,source,author_position,author_state,author_gender,author_party,bias_neutral,bias_partisan,text_length
0,neutral,information,twitter,Representative,Texas,M,Republican,1,0,142
1,neutral,personal,twitter,Representative,Illinois,M,Democrat,1,0,134
0,neutral,support,twitter,Representative,New York,F,Democrat,1,0,146
0,partisan,policy,twitter,Senator,South Carolina,M,Republican,0,1,140
0,neutral,support,twitter,Representative,Kansas,F,Republican,1,0,144
0,neutral,personal,twitter,Representative,Florida,M,Republican,1,0,130
0,neutral,media,twitter,Representative,Georgia,M,Republican,1,0,99
0,neutral,information,twitter,Senator,New Hampshire,F,Democrat,1,0,52
0,neutral,information,twitter,Representative,Illinois,M,Republican,1,0,54
0,partisan,policy,twitter,Representative,Texas,M,Republican,0,1,144
0,neutral,personal,twitter,Senator,Wyoming,M,Republican,1,0,139
0,partisan,personal,twitter,Senator,Minnesota,F,Democrat,0,1,131
0,neutral,policy,twitter,Representative,California,M,Democrat,1,0,137
0,partisan,attack,twitter,Senator,North Carolina,M,Republican,0,1,140
1,partisan,constituency,twitter,Senator,Utah,M,Republican,0,1,138
0,neutral,information,twitter,Representative,Louisiana,M,Republican,1,0,131
0,neutral,media,twitter,Representative,Kentucky,M,Republican,1,0,132
0,neutral,personal,twitter,Representative,Minnesota,M,Democrat,1,0,134
0,neutral,personal,twitter,Representative,California,M,Democrat,1,0,138
0,neutral,other,twitter,Senator,Vermont,M,Democrat,1,0,139
1,neutral,media,twitter,Representative,Rhode Island,M,Democrat,1,0,142
1,neutral,support,twitter,Representative,Massachusetts,M,Democrat,1,0,139
0,neutral,support,twitter,Representative,Minnesota,F,Republican,1,0,132
0,neutral,personal,twitter,Senator,Maryland,F,Democrat,1,0,133
0,neutral,personal,twitter,Representative,Connecticut,M,Democrat,1,0,139
0,neutral,mobilization,twitter,Representative,Florida,F,Democrat,1,0,74
0,neutral,information,twitter,Representative,Illinois,M,Republican,1,0,137
1,neutral,media,twitter,Representative,Arizona,M,Republican,1,0,138
1,neutral,personal,twitter,Representative,Missouri,F,Republican,1,0,73
0,neutral,support,twitter,Representative,Pennsylvania,M,Republican,1,0,127
0,neutral,personal,twitter,Representative,Alabama,F,Republican,1,0,119
0,neutral,personal,twitter,Representative,Ohio,M,Republican,1,0,99
1,neutral,other,twitter,Representative,Nevada,M,Republican,1,0,135
0,partisan,policy,twitter,Representative,Tennessee,M,Republican,0,1,58
1,neutral,support,twitter,Senator,Idaho,M,Republican,1,0,144
0,neutral,personal,twitter,Representative,Illinois,M,Republican,1,0,129
0,neutral,support,twitter,Representative,Illinois,M,Republican,1,0,140
0,neutral,media,twitter,Representative,Florida,F,Democrat,1,0,81
0,neutral,media,twitter,Senator,Tennessee,M,Republican,1,0,93
0,partisan,policy,twitter,Representative,Minnesota,M,Republican,0,1,140
1,neutral,information,twitter,Representative,Illinois,M,Democrat,1,0,144
1,partisan,support,twitter,Senator,Kansas,M,Republican,0,1,126
0,partisan,attack,twitter,Representative,North Carolina,M,Republican,0,1,141
0,partisan,attack,twitter,Representative,North Carolina,M,Republican,0,1,136
0,neutral,personal,twitter,Representative,Florida,F,Democrat,1,0,125
0,partisan,policy,twitter,Representative,Ohio,M,Republican,0,1,104
0,neutral,personal,twitter,Representative,District of Columbia,F,Democrat,1,0,138
1,neutral,personal,twitter,Representative,Texas,M,Republican,1,0,144
1,neutral,constituency,twitter,Representative,Texas,M,Republican,1,0,114
0,partisan,policy,twitter,Representative,Maryland,M,Democrat,0,1,133
1,neutral,policy,twitter,Representative,Indiana,M,Republican,1,0,121
0,partisan,policy,twitter,Representative,Florida,F,Republican,0,1,125
0,partisan,attack,twitter,Representative,California,M,Republican,0,1,139
0,partisan,media,twitter,Representative,Maryland,F,Democrat,0,1,139
0,neutral,support,twitter,Senator,Washington,F,Democrat,1,0,116
1,neutral,support,twitter,Senator,Wisconsin,F,Democrat,1,0,139
0,partisan,policy,twitter,Representative,New Jersey,M,Democrat,0,1,136
1,neutral,information,twitter,Representative,Pennsylvania,M,Republican,1,0,96
0,neutral,support,twitter,Representative,Pennsylvania,M,Republican,1,0,137
0,neutral,support,twitter,Representative,Minnesota,F,Democrat,1,0,148
0,neutral,policy,twitter,Representative,Kansas,M,Republican,1,0,123
0,neutral,policy,twitter,Senator,Connecticut,M,Democrat,1,0,137
0,neutral,policy,twitter,Senator,New Hampshire,F,Republican,1,0,128
0,partisan,attack,twitter,Representative,Michigan,M,Republican,0,1,127
0,partisan,attack,twitter,Senator,Kentucky,M,Republican,0,1,137
0,partisan,policy,twitter,Representative,Maryland,M,Democrat,0,1,132
0,neutral,policy,twitter,Representative,Texas,F,Democrat,1,0,73
0,neutral,support,twitter,Representative,Ohio,M,Republican,1,0,76
0,neutral,information,twitter,Representative,Indiana,M,Republican,1,0,78
0,neutral,personal,twitter,Representative,Indiana,F,Democrat,1,0,25
0,neutral,personal,twitter,Representative,Missouri,F,Republican,1,0,139
1,neutral,personal,twitter,Senator,Texas,M,Republican,1,0,82
1,neutral,media,twitter,Senator,North Dakota,M,Republican,1,0,133
0,neutral,personal,twitter,Senator,Connecticut,M,Democrat,1,0,74
1,neutral,personal,twitter,Representative,Virginia,M,Republican,1,0,93
0,neutral,personal,twitter,Representative,New York,M,Democrat,1,0,132
0,neutral,support,twitter,Senator,California,F,Democrat,1,0,133
0,neutral,support,twitter,Senator,Nevada,M,Republican,1,0,94
0,neutral,policy,twitter,Representative,California,M,Democrat,1,0,112
1,neutral,information,twitter,Representative,Arkansas,M,Republican,1,0,104
0,partisan,policy,twitter,Representative,Colorado,M,Republican,0,1,137
0,neutral,policy,twitter,Representative,New York,M,Democrat,1,0,123
0,partisan,policy,twitter,Senator,Maryland,M,Democrat,0,1,140
0,partisan,policy,twitter,Representative,Kansas,F,Republican,0,1,140
0,neutral,support,twitter,Representative,Indiana,M,Republican,1,0,92
0,neutral,support,twitter,Representative,Florida,F,Republican,1,0,123
0,partisan,personal,twitter,Senator,North Carolina,M,Republican,0,1,141
0,partisan,policy,twitter,Representative,Florida,F,Republican,0,1,126
0,partisan,attack,twitter,Representative,California,M,Republican,0,1,98
0,neutral,personal,twitter,Senator,Ohio,M,Republican,1,0,133
0,neutral,personal,twitter,Representative,New York,F,Democrat,1,0,109
0,neutral,information,twitter,Representative,California,M,Democrat,1,0,115
0,partisan,support,twitter,Senator,Ohio,M,Republican,0,1,124
1,neutral,constituency,twitter,Senator,New Hampshire,F,Republican,1,0,99
0,neutral,information,twitter,Representative,Louisiana,M,Democrat,1,0,138
0,partisan,policy,twitter,Representative,Florida,F,Republican,0,1,135
0,neutral,personal,twitter,Representative,Indiana,F,Democrat,1,0,124
0,neutral,personal,twitter,Senator,New Jersey,M,Democrat,1,0,41
0,neutral,information,twitter,Representative,Pennsylvania,M,Republican,1,0,135
0,partisan,attack,twitter,Senator,Texas,M,Republican,0,1,80
0,neutral,policy,twitter,Representative,Florida,M,Democrat,1,0,103
0,neutral,policy,twitter,Representative,North Carolina,M,Republican,1,0,124
0,neutral,support,twitter,Senator,Rhode Island,M,Democrat,1,0,133
0,partisan,support,twitter,Representative,Missouri,F,Republican,0,1,133
0,neutral,personal,twitter,Representative,California,M,Republican,1,0,34
0,partisan,personal,twitter,Senator,New Hampshire,F,Republican,0,1,98
0,partisan,personal,twitter,Senator,Ohio,M,Republican,0,1,141
0,neutral,personal,twitter,Representative,Kentucky,M,Republican,1,0,81
0,neutral,information,twitter,Representative,California,F,Democrat,1,0,109
0,neutral,information,twitter,Representative,Indiana,M,Republican,1,0,119
0,neutral,policy,twitter,Representative,Tennessee,M,Republican,1,0,140
1,neutral,other,twitter,Senator,New Jersey,M,Democrat,1,0,97
0,neutral,media,twitter,Representative,Tennessee,M,Republican,1,0,99
0,neutral,other,twitter,Representative,Maryland,M,Democrat,1,0,138
0,neutral,personal,twitter,Senator,New Jersey,M,Democrat,1,0,87
0,partisan,policy,twitter,Representative,Florida,F,Democrat,0,1,124
0,partisan,policy,twitter,Representative,Ohio,M,Republican,0,1,106
0,partisan,policy,twitter,Senator,Rhode Island,M,Democrat,0,1,141
0,partisan,media,twitter,Senator,New Jersey,M,Democrat,0,1,128
1,neutral,personal,twitter,Representative,Texas,M,Republican,1,0,144
0,partisan,policy,twitter,Representative,Ohio,M,Republican,0,1,113
0,neutral,personal,twitter,Representative,Missouri,F,Republican,1,0,105
0,neutral,media,twitter,Representative,Ohio,F,Democrat,1,0,99
1,neutral,personal,twitter,Senator,Massachusetts,M,Democrat,1,0,142
0,neutral,mobilization,twitter,Representative,Texas,M,Republican,1,0,139
0,partisan,personal,twitter,Representative,New York,F,Democrat,0,1,92
0,partisan,mobilization,twitter,Representative,Florida,F,Democrat,0,1,134
0,neutral,media,twitter,Representative,Indiana,M,Republican,1,0,119
0,partisan,personal,twitter,Representative,Michigan,F,Republican,0,1,100
0,neutral,policy,twitter,Senator,New York,F,Democrat,1,0,139
0,neutral,other,twitter,Representative,Tennessee,M,Republican,1,0,72
0,neutral,information,twitter,Representative,California,M,Republican,1,0,99
0,partisan,attack,twitter,Representative,California,M,Republican,0,1,139
1,neutral,support,twitter,Senator,Arkansas,M,Democrat,1,0,142
1,neutral,personal,twitter,Representative,Pennsylvania,M,Republican,1,0,90
0,neutral,personal,twitter,Representative,Virginia,M,Republican,1,0,66
0,partisan,policy,twitter,Representative,Nevada,F,Democrat,0,1,138
0,neutral,support,twitter,Representative,Nevada,F,Democrat,1,0,137
0,partisan,support,twitter,Senator,South Carolina,M,Republican,0,1,134
1,partisan,policy,twitter,Representative,North Carolina,M,Democrat,0,1,142
1,partisan,support,twitter,Representative,Florida,F,Republican,0,1,139
0,neutral,policy,twitter,Representative,Massachusetts,M,Democrat,1,0,90
0,neutral,support,twitter,Senator,North Dakota,F,Democrat,1,0,102
1,neutral,personal,twitter,Representative,Kentucky,M,Republican,1,0,58
0,neutral,personal,twitter,Representative,Virginia,M,Republican,1,0,134
0,partisan,personal,twitter,Representative,Texas,M,Republican,0,1,107
1,neutral,mobilization,twitter,Representative,New Jersey,M,Democrat,1,0,148
0,partisan,policy,twitter,Representative,Ohio,M,Republican,0,1,106
0,partisan,policy,twitter,Representative,North Carolina,M,Republican,0,1,137
0,partisan,support,twitter,Representative,Arizona,M,Democrat,0,1,121
0,neutral,personal,twitter,Senator,Delaware,M,Democrat,1,0,138
0,neutral,media,twitter,Representative,Colorado,M,Republican,1,0,120
1,neutral,information,twitter,Representative,New Mexico,F,Democrat,1,0,137
0,neutral,personal,twitter,Senator,Arizona,M,Republican,1,0,73
0,neutral,personal,twitter,Senator,Indiana,M,Democrat,1,0,84
0,neutral,media,twitter,Representative,Kansas,M,Republican,1,0,109
0,partisan,policy,twitter,Representative,Idaho,M,Republican,0,1,139
1,neutral,constituency,twitter,Senator,Rhode Island,M,Democrat,1,0,133
0,neutral,personal,twitter,Representative,Texas,M,Republican,1,0,47
1,partisan,policy,twitter,Representative,Illinois,M,Republican,0,1,146
1,neutral,personal,twitter,Senator,New Hampshire,F,Republican,1,0,79
0,partisan,policy,twitter,Senator,Iowa,M,Republican,0,1,140
0,partisan,policy,twitter,Senator,Florida,M,Republican,0,1,129
1,neutral,personal,twitter,Senator,Arizona,M,Republican,1,0,110
0,partisan,support,twitter,Senator,Maryland,F,Democrat,0,1,143
0,neutral,policy,twitter,Senator,Minnesota,F,Democrat,1,0,138
0,neutral,policy,twitter,Representative,Florida,F,Democrat,1,0,143
0,neutral,personal,twitter,Representative,California,M,Democrat,1,0,132
0,partisan,policy,twitter,Senator,New Hampshire,F,Republican,0,1,137
0,partisan,attack,twitter,Representative,West Virginia,M,Republican,0,1,120
0,neutral,support,twitter,Representative,Nevada,F,Democrat,1,0,141
0,neutral,personal,twitter,Representative,Missouri,F,Republican,1,0,135
0,neutral,personal,twitter,Senator,Pennsylvania,M,Democrat,1,0,101
0,neutral,information,twitter,Senator,Colorado,M,Democrat,1,0,140
0,neutral,policy,twitter,Representative,Ohio,M,Republican,1,0,139
0,neutral,personal,twitter,Representative,Arizona,M,Democrat,1,0,110
0,partisan,support,twitter,Senator,Idaho,M,Republican,0,1,98
0,neutral,other,twitter,Representative,Tennessee,M,Republican,1,0,135
1,partisan,policy,twitter,Representative,North Carolina,M,Democrat,0,1,139
0,neutral,media,twitter,Representative,Florida,F,Republican,1,0,110
0,partisan,information,twitter,Representative,Indiana,M,Republican,0,1,125
1,neutral,personal,twitter,Representative,Ohio,M,Republican,1,0,111
0,partisan,personal,twitter,Representative,California,M,Republican,0,1,136
0,partisan,support,twitter,Senator,Oregon,M,Democrat,0,1,117
0,partisan,policy,twitter,Representative,Wisconsin,M,Democrat,0,1,134
0,partisan,attack,twitter,Representative,New York,M,Democrat,0,1,135
0,partisan,policy,twitter,Senator,Missouri,M,Republican,0,1,129
0,neutral,personal,twitter,Representative,California,F,Democrat,1,0,136
0,neutral,information,twitter,Senator,Rhode Island,M,Democrat,1,0,126
0,neutral,mobilization,twitter,Representative,New York,M,Democrat,1,0,87
0,partisan,attack,twitter,Representative,New York,F,Democrat,0,1,99
1,partisan,mobilization,twitter,Representative,Louisiana,M,Republican,0,1,128
0,neutral,policy,twitter,Representative,Alabama,F,Republican,1,0,140
1,neutral,personal,twitter,Representative,Michigan,M,Republican,1,0,120
0,partisan,mobilization,twitter,Representative,Maryland,M,Democrat,0,1,144
0,neutral,personal,twitter,Senator,Kansas,M,Republican,1,0,133
1,neutral,personal,twitter,Representative,New York,M,Democrat,1,0,105
0,partisan,policy,twitter,Representative,Maryland,M,Democrat,0,1,139
0,partisan,policy,twitter,Representative,North Carolina,M,Republican,0,1,128
0,neutral,information,twitter,Representative,North Dakota,M,Republican,1,0,104
1,neutral,constituency,twitter,Representative,Illinois,M,Democrat,1,0,140
0,neutral,information,twitter,Representative,Pennsylvania,M,Democrat,1,0,143
0,neutral,support,twitter,Representative,California,F,Democrat,1,0,139
1,neutral,mobilization,twitter,Representative,Tennessee,M,Republican,1,0,72
0,neutral,support,twitter,Representative,North Carolina,M,Republican,1,0,130
0,neutral,information,twitter,Senator,Illinois,M,Republican,1,0,144
1,neutral,information,twitter,Representative,Arizona,M,Republican,1,0,133
0,partisan,attack,twitter,Representative,Illinois,M,Republican,0,1,128
0,neutral,information,twitter,Senator,Utah,M,Republican,1,0,87
0,neutral,personal,twitter,Representative,California,M,Democrat,1,0,138
0,partisan,policy,twitter,Representative,West Virginia,F,Republican,0,1,136
0,neutral,support,twitter,Representative,Florida,F,Republican,1,0,140
0,neutral,support,twitter,Senator,Iowa,M,Republican,1,0,86
1,neutral,media,twitter,Representative,West Virginia,F,Republican,1,0,136
0,partisan,support,twitter,Senator,Maine,M,Independent,0,1,136
0,neutral,media,twitter,Representative,Florida,F,Republican,1,0,140
0,neutral,personal,twitter,Representative,New Mexico,F,Democrat,1,0,129
0,neutral,attack,twitter,Representative,South Carolina,M,Republican,1,0,86
0,partisan,policy,twitter,Representative,Virginia,M,Republican,0,1,134
0,partisan,information,twitter,Representative,Texas,M,Republican,0,1,123
0,neutral,policy,twitter,Representative,Illinois,M,Democrat,1,0,144
0,neutral,other,twitter,Representative,North Carolina,M,Republican,1,0,129
1,neutral,constituency,twitter,Representative,Kansas,M,Republican,1,0,144
0,partisan,mobilization,twitter,Senator,Vermont,M,Independent,0,1,114
0,neutral,information,twitter,Senator,Idaho,M,Republican,1,0,77
0,neutral,information,twitter,Representative,Arizona,F,Democrat,1,0,118
0,partisan,policy,twitter,Senator,Wisconsin,F,Democrat,0,1,117
1,partisan,information,twitter,Senator,Oregon,M,Democrat,0,1,121
0,partisan,information,twitter,Senator,Connecticut,M,Democrat,0,1,100
0,neutral,media,twitter,Representative,Missouri,F,Republican,1,0,86
0,neutral,support,twitter,Representative,California,F,Democrat,1,0,146
0,neutral,personal,twitter,Representative,California,M,Republican,1,0,142
0,neutral,information,twitter,Representative,Ohio,M,Republican,1,0,129
0,partisan,attack,twitter,Representative,North Carolina,F,Republican,0,1,128
0,neutral,policy,twitter,Representative,Ohio,M,Republican,1,0,114
0,partisan,policy,twitter,Representative,Missouri,F,Republican,0,1,136
0,partisan,personal,twitter,Senator,Wyoming,M,Republican,0,1,119
0,neutral,information,twitter,Senator,Indiana,M,Democrat,1,0,126
0,neutral,policy,twitter,Representative,California,M,Republican,1,0,136
0,neutral,personal,twitter,Representative,Ohio,M,Republican,1,0,113
1,neutral,information,twitter,Representative,Massachusetts,M,Democrat,1,0,110
0,partisan,policy,twitter,Senator,Minnesota,M,Democrat,0,1,147
0,neutral,mobilization,twitter,Senator,New Jersey,M,Democrat,1,0,141
0,partisan,policy,twitter,Senator,Michigan,F,Democrat,0,1,122
0,partisan,personal,twitter,Representative,California,M,Democrat,0,1,137
0,neutral,policy,twitter,Senator,South Carolina,M,Republican,1,0,127
0,neutral,personal,twitter,Representative,New Jersey,M,Democrat,1,0,134
1,neutral,information,twitter,Representative,Oregon,M,Republican,1,0,131
0,neutral,personal,twitter,Representative,New Jersey,M,Democrat,1,0,124
0,partisan,policy,twitter,Representative,California,M,Democrat,0,1,127
1,neutral,personal,twitter,Representative,Pennsylvania,M,Republican,1,0,115
0,partisan,policy,twitter,Senator,Rhode Island,M,Democrat,0,1,98
1,neutral,information,twitter,Representative,Illinois,M,Democrat,1,0,144
1,partisan,constituency,twitter,Representative,New Hampshire,F,Democrat,0,1,138
1,neutral,personal,twitter,Representative,Ohio,M,Republican,1,0,63
0,partisan,policy,twitter,Representative,Florida,M,Republican,0,1,71
0,neutral,media,twitter,Representative,Texas,M,Republican,1,0,143
0,partisan,policy,twitter,Representative,Florida,M,Democrat,0,1,43
0,neutral,support,twitter,Representative,Tennessee,M,Republican,1,0,103
1,neutral,personal,twitter,Senator,New Jersey,M,Democrat,1,0,140
1,neutral,personal,twitter,Representative,California,M,Republican,1,0,130
1,neutral,support,twitter,Representative,Texas,M,Republican,1,0,135
0,neutral,policy,twitter,Representative,California,M,Democrat,1,0,139
0,neutral,support,twitter,Senator,Massachusetts,M,Democrat,1,0,134
1,neutral,information,twitter,Representative,New Jersey,M,Republican,1,0,138
1,neutral,information,twitter,Representative,Mississippi,M,Republican,1,0,140
0,partisan,policy,twitter,Representative,Texas,M,Republican,0,1,105
0,partisan,policy,twitter,Representative,Louisiana,M,Republican,0,1,80
0,neutral,support,twitter,Senator,Arizona,M,Republican,1,0,92
0,partisan,policy,twitter,Representative,Oklahoma,M,Republican,0,1,139
1,neutral,support,twitter,Representative,Nevada,M,Republican,1,0,140
0,partisan,policy,twitter,Representative,Minnesota,M,Democrat,0,1,142
0,partisan,policy,twitter,Senator,Missouri,M,Republican,0,1,125
0,partisan,policy,twitter,Representative,Virginia,M,Republican,0,1,132
1,neutral,constituency,twitter,Representative,Illinois,M,Democrat,1,0,138
0,neutral,attack,twitter,Representative,Georgia,M,Republican,1,0,138
1,neutral,media,twitter,Representative,Florida,F,Republican,1,0,130
0,partisan,personal,twitter,Representative,Colorado,M,Republican,0,1,92
0,neutral,information,twitter,Representative,Florida,M,Democrat,1,0,108
1,neutral,support,twitter,Representative,Ohio,M,Republican,1,0,111
0,neutral,information,twitter,Representative,Maryland,M,Democrat,1,0,142
0,partisan,policy,twitter,Representative,Florida,F,Democrat,0,1,113
1,neutral,personal,twitter,Representative,New York,M,Republican,1,0,146
0,neutral,personal,twitter,Representative,Illinois,M,Democrat,1,0,46
1,neutral,support,twitter,Representative,Michigan,M,Republican,1,0,96
0,neutral,personal,twitter,Representative,Colorado,M,Republican,1,0,107
1,neutral,mobilization,twitter,Representative,Texas,M,Democrat,1,0,77
0,neutral,personal,twitter,Senator,Vermont,M,Independent,1,0,117
0,partisan,personal,twitter,Representative,California,M,Democrat,0,1,142
0,neutral,information,twitter,Representative,Minnesota,M,Democrat,1,0,137
0,neutral,policy,twitter,Representative,Illinois,M,Republican,1,0,86
0,neutral,support,twitter,Representative,Missouri,M,Republican,1,0,125
0,neutral,policy,twitter,Senator,New Jersey,M,Democrat,1,0,129
0,neutral,media,twitter,Representative,Kentucky,M,Republican,1,0,63
0,neutral,personal,twitter,Representative,California,M,Democrat,1,0,40
0,neutral,information,twitter,Representative,California,M,Democrat,1,0,116
1,partisan,policy,twitter,Representative,California,M,Republican,0,1,139
0,neutral,personal,twitter,Representative,Texas,M,Republican,1,0,90
0,neutral,personal,twitter,Representative,Alabama,M,Republican,1,0,139
0,neutral,personal,twitter,Representative,Texas,M,Republican,1,0,138
0,neutral,policy,twitter,Representative,Connecticut,M,Democrat,1,0,120
1,neutral,information,twitter,Representative,Arkansas,M,Republican,1,0,81
0,neutral,support,twitter,Representative,Nevada,M,Republican,1,0,134
0,neutral,personal,twitter,Representative,Pennsylvania,M,Democrat,1,0,134
0,neutral,information,twitter,Senator,Oregon,M,Democrat,1,0,142
0,partisan,support,twitter,Senator,Maryland,F,Democrat,0,1,142
0,neutral,policy,twitter,Representative,Tennessee,M,Democrat,1,0,142
1,neutral,constituency,twitter,Senator,Rhode Island,M,Democrat,1,0,148
1,neutral,information,twitter,Representative,Arkansas,M,Republican,1,0,133
0,neutral,personal,twitter,Representative,California,F,Democrat,1,0,133
0,neutral,policy,twitter,Representative,Florida,F,Democrat,1,0,130
0,neutral,policy,twitter,Representative,Louisiana,M,Republican,1,0,137
0,neutral,personal,twitter,Representative,Alabama,F,Republican,1,0,136
0,neutral,support,twitter,Representative,Florida,M,Republican,1,0,90
0,neutral,policy,twitter,Representative,California,M,Democrat,1,0,125
0,neutral,support,twitter,Senator,New Jersey,M,Democrat,1,0,52
0,partisan,policy,twitter,Senator,Texas,M,Republican,0,1,129
0,partisan,policy,twitter,Senator,Maryland,F,Democrat,0,1,144
0,neutral,personal,twitter,Senator,Rhode Island,M,Democrat,1,0,140
0,neutral,policy,twitter,Senator,New Jersey,M,Democrat,1,0,40
1,neutral,constituency,twitter,Representative,Michigan,M,Republican,1,0,117
0,neutral,mobilization,twitter,Representative,Kansas,M,Republican,1,0,144
0,neutral,information,twitter,Representative,Texas,M,Republican,1,0,84
0,neutral,support,twitter,Representative,Florida,F,Republican,1,0,144
0,neutral,support,twitter,Representative,North Carolina,M,Democrat,1,0,139
0,neutral,policy,twitter,Senator,Wisconsin,F,Democrat,1,0,111
1,neutral,constituency,twitter,Representative,Ohio,M,Republican,1,0,121
0,partisan,policy,twitter,Representative,Tennessee,M,Republican,0,1,90
0,neutral,policy,twitter,Representative,Illinois,M,Republican,1,0,137
0,partisan,policy,twitter,Representative,Wisconsin,M,Democrat,0,1,118
0,neutral,support,twitter,Senator,Kentucky,M,Republican,1,0,141
0,neutral,support,twitter,Senator,New Hampshire,F,Republican,1,0,116
1,neutral,information,twitter,Senator,Louisiana,M,Republican,1,0,79
0,neutral,personal,twitter,Representative,Indiana,F,Democrat,1,0,32
0,partisan,policy,twitter,Representative,Arizona,M,Republican,0,1,137
